QTYPE,group0
bf16,0
iq1_bn,14.450529
iq1_kt,0.520283
iq1_m,0.870891
iq1_m_r4,0.881883
iq1_s,0.660524
iq1_s_r4,0.717449
iq2_bn,14.492848
iq2_bn_r4,13.962599
iq2_k,0.246592
iq2_k_r4,0.246665
iq2_kl,0.170353
iq2_ks,0.262209
iq2_kt,0.292349
iq2_s,0.097597
iq2_xs,0.112213
iq2_xs_r4,0.113014
iq2_xxs,0.210017
iq2_xxs_r4,0.211192
iq3_k,0.071952
iq3_k_r4,0.07193
iq3_ks,0.091351
iq3_kt,0.088382
iq3_s,0.080654
iq3_s_r4,0.081313
iq3_xxs,0.117252
iq3_xxs_r4,0.116946
iq4_k,0.030205
iq4_k_r4,0.030199
iq4_ks,0.025706
iq4_ks_r4,0.025691
iq4_kss,0.040265
iq4_kt,0.044259
iq4_nl,0
iq4_nl_r4,0.003426
iq4_xs,0.008442
iq4_xs_r8,0.009354
iq5_k,0.007272
iq5_k_r4,0.007272
iq5_ks,0.008107
iq5_ks_r4,0.008107
iq6_k,0.003828
q2_K,0.237759
q2_k_r4,0.237065
q3_K,0.083671
q3_k_r4,0.084424
q4_0,0.043264
q4_0_r8,0.043417
q4_1,0.037116
q4_K,0.036332
q4_k_r4,0.037022
q5_0,0.015833
q5_0_r4,0.015896
q5_1,0.014775
q5_K,0.012769
q5_k_r4,0.012936
q6_0,0.006023
q6_0_r4,0.00593
q6_K,0.004527
q6_k_r4,0.007963
q8_0,0.002524
q8_0_r8,0.002644
q8_k_r8,0.006796
q8_KV,0.064142
