QTYPE,group0
bf16,404
iq1_kt,7.207224
iq1_m,242.175036
iq1_m_r4,1219.110726
iq1_s,8701.622023
iq1_s_r4,368278.923567
iq2_k,4.900149
iq2_kl,4.564252
iq2_ks,6.936172
iq2_kt,6.480412
iq2_xs,6.047697
iq2_xxs,8.638012
iq3_k,4.217814
iq3_ks,4.364509
iq3_kt,4.231625
iq3_s,4.206463
iq3_xxs,4.522228
iq4_k,4.111821
iq4_ks,4.122075
iq4_kss,4.154951
iq4_kt,4.153758
iq4_nl,4.096709
iq4_xs,4.082849
iq5_k,4.0669
iq5_ks,4.077654
q2_K,4.712700
q3_K,4.230248
q4_0,4.136688
q4_1,4.133353
q4_K,4.114722
q6_k,404
q8_0,404
