QTYPE,group0
bf16,0
iq1_kt,4.880622
iq1_m,8.408753
iq1_m_r4,9.824962
iq1_s,11.489467
iq1_s_r4,14.980287
iq2_k,3.242101
iq2_kl,2.468118
iq2_ks,5.375086
iq2_kt,4.997948
iq2_s,5.051589
iq2_xs,5.051589
iq2_xxs,6.963936
iq3_k,1.767685
iq3_ks,1.673611
iq3_kt,1.584772
iq3_s,1.834107
iq3_xxs,2.387292
iq4_k,0.703245
iq4_ks,0.790141
iq4_kss,0.923019
iq4_kt,0.834612
iq4_nl,0.845951
iq4_xs,0.864333
iq5_k,0.400064
iq5_ks,0.466173
iq6_k,0.272552
q2_K,2.851505
q3_K,1.372292
q4_0,1.066677
q4_1,0.859277
q4_K,0.736152
q5_0,0.570749
q5_1,0.509813
q5_K,0.464692
q6_0,0.327431
q6_K,0.307077
q8_0,0.210697
