QTYPE,group0
bf16,0
iq1_bn,14.091151
iq1_kt,0.612531
iq1_m,0.874475
iq1_m_r4,0.862818
iq1_s,0.760796
iq1_s_r4,0.813763
iq2_bn,13.80844
iq2_bn_r4,13.80844
iq2_k,0.290294
iq2_k_r4,0.290294
iq2_kl,0.188662
iq2_ks,0.423104
iq2_kt,0.322424
iq2_s,0.171775
iq2_xs,0.201885
iq2_xs_r4,0.202695
iq2_xxs,0.304814
iq2_xxs_r4,0.306065
iq3_k,0.056392
iq3_k_r4,0.056392
iq3_ks,0.083249
iq3_kt,0.108766
iq3_s,0.077345
iq3_s_r4,0.077345
iq3_xxs,0.126119
iq3_xxs_r4,0.126119
iq4_k,0.0145
iq4_k_r4,0.0145
iq4_ks,0.0191
iq4_ks_r4,0.0191
iq4_kss,0.02893
iq4_kt,0.02483
iq4_nl,0.040385
iq4_nl_r4,0.040289
iq4_xs,0.019601
iq4_xs_r8,0.019601
iq5_k,0.005572
iq5_k_r4,0.005572
iq5_ks,0.006594
iq5_ks_r4,0.006594
iq6_k,0.003112
q2_K,0.281125
q2_k_r4,0.281125
q3_K,0.070498
q3_k_r4,0.070498
q4_0,0.026212
q4_0_r8,0.026212
q4_1,0.019906
q4_K,0.018967
q4_k_r4,0.018967
q5_0,0.008383
q5_0_r4,0.008383
q5_1,0.007166
q5_K,0.017622
q5_k_r4,0.017777
q6_0,0.003925
q6_0_r4,0.003925
q6_K,0.003434
q6_k_r4,0.003434
q8_0,0
q8_0_r8,0
q8_k_r8,0.014209
q8_KV,0.128118
