QTYPE,group0
bf16,404
iq1_kt,0.783614
iq1_m,404
iq1_m_r4,0.981870
iq1_s,404
iq1_s_r4,1.806952
iq2_k,0.243722
iq2_kl,0.155445
iq2_ks,0.517920
iq2_kt,0.328217
iq2_s,10.274158
iq2_xs,0.330671
iq2_xxs,0.218931
iq3_k,0.048675
iq3_ks,0.143620
iq3_kt,0.064228
iq3_s,23.039249
iq3_xxs,0.109894
iq4_k,0.013024
iq4_ks,0.017371
iq4_kss,0.025810
iq4_kt,0.020806
iq4_nl,0.015197
iq4_xs,0.019882
iq5_k,0.005464
iq5_ks,0.006309
iq6_k,0.002968
q2_K,0.103045
q3_K,0.065048
q4_0,0.025761
q4_1,0.017224
q4_K,0.012118
q5_0,0.008918
q5_1,0.007168
q5_K,0.006256
q6_0,0.003942
q6_K,0.003303
q8_0,0
