QTYPE,group0
bf16,0
iq1_bn,25.280728
iq1_kt,8.664964
iq1_m,11.027261
iq1_m_r4,11.192683
iq1_s,11.655390
iq1_s_r4,1.479169
iq2_bn,22.793555
iq2_bn_r4,21.695424
iq2_k,2.411764
iq2_k_r4,2.413921
iq2_kl,1.165602
iq2_ks,6.071710
iq2_kt,2.292917
iq2_s,1.444573
iq2_xs,1.767830
iq2_xs_r4,1.761822
iq2_xxs,3.739984
iq2_xxs_r4,3.757911
iq3_k,0.525699
iq3_k_r4,0.532550
iq3_ks,0.610567
iq3_kt,0.503380
iq3_s,0.743532
iq3_s_r4,0.730017
iq3_xxs,0.944086
iq3_xxs_r4,0.968222
iq4_k,0.223794
iq4_k_r4,0.223794
iq4_ks,0.234593
iq4_ks_r4,0.226593
iq4_kss,0.280070
iq4_kt,0.268249
iq4_nl,0.223097
iq4_nl_r4,0.209344
iq4_xs,0.305036
iq4_xs_r8,0.269678
iq5_k,0.081602
iq5_k_r4,0.081602
iq5_ks,0.220124
iq5_ks_r4,0.220124
iq6_k,0.084394
q2_K,1.962279
q2_k_r4,1.963621
q3_K,1.352454
q3_k_r4,1.366925
q4_0,0.225319
q4_0_r8,0.256946
q4_1,0.207517
q4_K,0.396703
q4_k_r4,0.367415
q5_0,0.256161
q5_0_r4,0.243611
q5_1,0.154628
q5_K,0.180779
q5_k_r4,0.129344
q6_0,0.081357
q6_0_r4,0.093766
q6_K,0.077462
q6_k_r4,0.081134
q8_0,0.054659
q8_0_r8,0.064463
q8_k_r8,0.127459
q8_KV,0.163017
