QTYPE,group0
bf16,404
iq1_bn,404
iq1_kt,3.296
iq1_m,1.911
iq1_m_r4,1.359
iq1_s,0.546
iq1_s_r4,0.694
iq2_k,42.486
iq2_k_r4,42.489
iq2_kl,62.056
iq2_ks,13.905
iq2_kt,40.409
iq2_s,56.014
iq2_xs,47.647
iq2_xs_r4,47.488
iq2_xxs,25.937
iq2_xxs_r4,25.795
iq3_k,74.775
iq3_ks,73.887
iq3_kt,74.478
iq3_s,72.757
iq3_xxs,68.215
iq4_k,86.514
iq4_k_r4,86.514
iq4_ks,85.535
iq4_kss,81.490
iq4_kt,82.622
iq4_nl,82.886
iq4_nl_r4,404
iq4_xs,81.370
iq5_k,90.301
iq5_ks,89.140
iq6_k,90.920
q2_K,48.617
q2_k_r4,404
q3_K,61.465
q4_0,82.571
q4_0_r8,404
q4_1,86.001
q4_K,84.433
q5_0,88.072
q5_0_r4,404
q5_1,89.614
q5_K,88.864
q6_0,91.295
q6_K,91.505
q8_0,92.205
q8_KV,90.276
